date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:11	42692/42692	---M--	200	added ('OK')	image/png	etag:%22639ed280-a6c4%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sky-tshirt.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sky-tshirt.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:11	40367/40367	---M--	200	added ('OK')	image/png	etag:%22639ed280-9daf%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/yellow-tshirt.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/yellow-tshirt.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:11	10199/10199	---M--	200	added ('OK')	image/png	etag:%22639ed280-27d7%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/black-tshirt.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/black-tshirt.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:12	43535/43535	---M--	200	added ('OK')	image/png	etag:%22639ed280-aa0f%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-5.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-5.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:12	40848/40848	---M--	200	added ('OK')	image/png	etag:%22639ed280-9f90%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-6.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-6.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:12	33071/33071	---M--	200	added ('OK')	image/png	etag:%22639ed280-812f%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-7.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-7.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:13	47982/47982	---M--	200	added ('OK')	image/png	etag:%22639ed280-bb6e%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-8.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shirt-8.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:13	17395/17395	---M--	200	added ('OK')	image/png	etag:%22639ed280-43f3%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-5.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-5.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:13	18171/18171	---M--	200	added ('OK')	image/png	etag:%22639ed280-46fb%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-6.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-6.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:13	19703/19703	---M--	200	added ('OK')	image/png	etag:%22639ed280-4cf7%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-7.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-7.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:14	18157/18157	---M--	200	added ('OK')	image/png	etag:%22639ed280-46ed%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-8.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoe-8.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:14	17358/17358	---M--	200	added ('OK')	image/png	etag:%22639ed280-43ce%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-5.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-5.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:14	14424/14424	---M--	200	added ('OK')	image/png	etag:%22639ed280-3858%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-6.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-6.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
